# Z1 Z2     a1   b1[1/Ang]  a2     b2[1/Ang]   a3    b3[1/Ang] error(V>30) error(V>10)
 3 63  0.23359  29.00582  0.64197  6.38750  0.12444  2.35072  1.37%  1.76%
 3 64  0.23913  27.53021  0.61683  6.50314  0.14403  2.60814  1.07%  1.00%
 3 65  0.21311  31.50890  0.65193  6.73130  0.13496  2.47864  1.30%  1.63%
 3 66  0.20768  32.22716  0.65422  6.85611  0.13810  2.52264  1.35%  1.72%
 3 67  0.20167  32.99175  0.65447  7.00854  0.14385  2.57715  1.26%  1.63%
 3 68  0.19282  34.29568  0.65684  7.18964  0.15034  2.62358  1.20%  1.50%
 3 69  0.19285  34.22870  0.65444  7.26267  0.15271  2.62844  1.17%  1.40%
 3 70  0.20758  31.30453  0.65338  7.16078  0.13904  2.43664  0.83%  1.07%
 3 71  0.14147  43.46337  0.61658  8.48005  0.24195  3.11861  1.04%  2.35%
 3 72  0.12399  48.01344  0.57477  9.41495  0.30124  3.43052  1.06%  2.32%
 3 73  0.10361  54.88369  0.54817 10.31857  0.34822  3.64992  1.12%  2.99%
 3 74  0.09409  58.72475  0.52831 10.93323  0.37760  3.78579  1.10%  4.20%
 3 75  0.08322  64.45698  0.51562 11.56037  0.40116  3.88831  1.21%  4.46%
 3 76  0.07655  68.60471  0.50807 12.00435  0.41538  3.95199  1.27%  4.22%
 3 77  0.07619  68.69395  0.50376 12.16420  0.42005  3.97590  1.24%  3.95%
 3 78  0.09361  59.49052  0.53426 11.18150  0.37213  3.72008  1.31%  2.94%
 3 79  0.12070  49.49280  0.56919 10.04775  0.31011  3.36355  1.20%  3.32%
 3 80  0.14681  42.23638  0.58157  9.35317  0.27162  3.11513  1.00%  1.31%
 3 81  0.13272  45.77513  0.58308  9.74622  0.28420  3.13596  0.99%  1.19%
 3 82  0.10269  56.29897  0.58871 10.58945  0.30861  3.18534  1.20%  1.31%
 3 83  0.09262  60.99472  0.58310 11.04617  0.32428  3.23578  1.20%  1.60%
 3 84  0.08997  61.88526  0.57601 11.33423  0.33402  3.23736  1.16%  1.77%
 3 85  0.13062  45.00173  0.55321 10.53725  0.31616  3.11944  1.43%  2.39%
 3 86  0.51026  16.66428  0.39426  4.71551  0.09548  2.03557  1.42%  1.45%
 3 87  0.52157  16.63427  0.40453  4.44455  0.07390  1.82825  1.33%  1.40%
 3 88  0.44652  18.75354  0.36913  5.79304  0.18435  2.50995  1.38%  1.52%
 3 89  0.40896  19.84826  0.35484  6.60902  0.23620  2.74674  1.31%  1.53%
 3 90  0.23864  28.44933  0.45232  9.30576  0.30904  3.02405  1.40%  1.61%
 3 91  0.47800  18.30700  0.50342  4.43934  0.01858  1.46078  0.99%  1.47%
 3 92  0.46149  19.08376  0.51556  4.58260  0.02296  1.64647  0.94%  1.21%
 4  4  0.07539  33.12333  0.87884  4.22764  0.04577  0.05701  1.42%  2.91%
 4  5  0.05672  41.38512  0.83257  4.92805  0.11072  1.23507  1.59%  2.93%
 4  6  0.59686   6.98465  0.40314  2.94467  0.00000  0.00000  2.09%  2.79%
 4  7  0.43100   8.83261  0.56900  3.48080  0.00000  0.00000  2.88%  5.21%
 4  8  0.29705  12.30409  0.70295  3.84695  0.00000  0.00000  4.65% 10.22%
 4  9  0.22646  17.70841  0.77354  3.98874  0.00000  0.00000  5.83% 13.46%
 4 10  0.25659  18.30297  0.74341  3.74280  0.00000  0.00000  4.71%  6.31%
 4 11  0.35210  13.84210  0.64790  3.37321  0.00000  0.00000  2.61%  5.42%
 4 12  0.27541  17.91913  0.71108  3.76739  0.01351  0.00000  2.22%  2.22%
 4 13  0.27686  18.36864  0.71089  3.76604  0.01224  0.00000  1.79%  2.14%
 4 14  0.26791  19.31825  0.71908  3.83938  0.01301  0.30692  1.66%  2.06%
 4 15  0.23301  21.44544  0.71667  4.20151  0.05032  1.44431  1.66%  3.20%
 4 16  0.15852  26.97904  0.42959  6.38791  0.41189  3.00383  2.32%  4.48%
 4 17  0.09315  36.47614  0.40935  8.55340  0.49750  3.07673  2.93%  7.29%
 4 18  0.07147  46.81236  0.51907  8.19606  0.40947  2.68063  2.70%  4.85%
 4 19  0.06660  51.27077  0.53371  8.25726  0.39969  2.67725  2.41%  2.88%
 4 20  0.05591  58.88523  0.49870  8.96806  0.44539  2.92146  2.39%  2.67%
 4 21  0.43242  12.25341  0.56758  3.43304  0.00000  0.00000  2.96%  4.70%
 4 22  0.35628  14.52635  0.64372  3.81450  0.00000  0.00000  3.08%  6.32%
 4 23  0.32785  15.82939  0.67215  4.00833  0.00000  0.00000  3.28%  6.07%
 4 24  0.31029  16.78560  0.68971  4.16632  0.00000  0.00000  3.39%  5.79%
 4 25  0.30094  17.26200  0.69906  4.29595  0.00000  0.00000  3.31%  4.98%
 4 26  0.31278  16.55524  0.68722  4.35688  0.00000  0.00000  2.86%  4.46%
 4 27  0.31533  16.59159  0.68467  4.41819  0.00000  0.00000  2.69%  4.04%
 4 28  0.33322  16.29336  0.66678  4.37218  0.00000  0.00000  2.90%  4.59%
 4 29  0.02938 111.42964  0.41854 11.99365  0.55208  3.96793  1.68%  1.65%
 4 30  0.42821  13.48000  0.56711  4.08752  0.00468  0.00000  1.46%  1.56%
 4 31  0.42988  13.63057  0.55738  4.15467  0.01274  0.78210  1.41%  1.60%
 4 32  0.41612  14.22405  0.55085  4.31633  0.03303  1.57655  1.38%  1.57%
 4 33  0.33968  16.42205  0.40015  5.72225  0.26017  3.05140  1.53%  1.76%
 4 34  0.30719  17.95954  0.38850  6.24682  0.30432  3.13750  1.59%  4.06%
 4 35  0.08330  44.98562  0.50698  9.88981  0.40973  3.25501  2.12%  4.45%
